,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
135,195,5577,Volkswagen,Tiguan,2019,Saudi,Grey,Full,2.0,Gas,Automatic,60000,Riyadh,114000,False
136,196,5348,Mazda,3,2015,Other,White,Standard,1.6,Gas,Automatic,74000,Jeddah,27000,False
137,198,7163,Toyota,Land Cruiser,2014,Gulf Arabic,White,Full,4.6,Gas,Automatic,325000,Riyadh,126000,False
138,199,4348,Toyota,Land Cruiser,2015,Gulf Arabic,White,Full,4.6,Gas,Automatic,280000,Dammam,140000,False
139,200,1669,Mazda,CX3,2019,Gulf Arabic,Navy,Standard,2.0,Gas,Automatic,40301,Riyadh,61500,False
140,201,3689,Mercedes,SL,2017,Saudi,Red,Full,4.7,Gas,Automatic,81000,Jeddah,265000,False
141,202,7823,Toyota,Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,434,Aseer,85000,False
142,203,2827,Hyundai,Sonata,2019,Saudi,Silver,Standard,2.4,Gas,Automatic,110900,Riyadh,57000,False
143,204,3682,Toyota,Prado,2016,Saudi,White,Semi Full,6.0,Gas,Automatic,180,Qassim,91000,False
144,205,3083,Toyota,Land Cruiser,2015,Saudi,White,Full,4.6,Gas,Automatic,215000,Riyadh,146000,False
145,206,3823,Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,36000,Al-Ahsa,43000,False
146,207,5313,Volkswagen,Passat,2016,Saudi,Grey,Standard,2.5,Gas,Automatic,49000,Jeddah,49000,False
147,211,4038,Mercedes,G,2019,Other,Black,Full,4.0,Gas,Automatic,39000,Riyadh,800000,False
148,212,1458,Hyundai,Elantra,2020,Saudi,White,Standard,1.6,Gas,Automatic,16925,Riyadh,57500,False
149,213,1123,Ford,Expedition,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,123000,Riyadh,85000,False
150,216,5484,Chevrolet,Impala,2019,Saudi,Silver,Semi Full,3.6,Gas,Automatic,107000,Riyadh,73000,False
151,217,5857,Hyundai,Azera,2021,Unknown,Black,Semi Full,3.5,Gas,Automatic,16000,Riyadh,1770,False
152,218,105,Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,70000,Jeddah,145000,False
153,219,7244,Toyota,Prado,2012,Saudi,White,Full,4.0,Gas,Manual,199000,Al-Baha,73000,False
154,220,3939,Nissan,VTC,2019,Other,White,Full,4.8,Gas,Automatic,39000,Abha,145000,False
155,221,738,Lexus,LX,2009,Gulf Arabic,White,Full,5.7,Gas,Automatic,293000,Riyadh,122000,False
156,222,5291,Hyundai,Sonata,2017,Saudi,White,Full,2.4,Gas,Automatic,69000,Dammam,51000,False
157,223,3432,Toyota,Hilux,2014,Saudi,White,Standard,2.7,Gas,Manual,217000,Riyadh,37000,False
158,225,417,Chevrolet,Silverado,2017,Gulf Arabic,Silver,Full,5.3,Gas,Automatic,110000,Riyadh,107000,False
159,226,2610,Ford,Taurus,2015,Other,Black,Full,3.5,Gas,Automatic,117000,Dammam,69000,False
160,229,929,Kia,Cerato,2019,Saudi,White,Standard,1.5,Gas,Automatic,30766,Jeddah,42000,False
161,230,496,Hyundai,Accent,2017,Saudi,White,Semi Full,1.6,Gas,Automatic,76938,Riyadh,30000,False
162,232,3959,Mitsubishi,Pajero,2017,Saudi,White,Semi Full,3.5,Gas,Automatic,159000,Dammam,55000,False
